bookID,seriesName,position
87209794,"Book of the Isle",5
87209851,"Book of the Isle",3
87209903,"Book of the Isle",4
87209922,"Book of the Isle",1
87209962,"Book of the Isle",2
87210067,"Sword in Exile",1
87210078,"Sword in Exile",2
87210135,"Sword in Exile",3
87210415,Xenogenesis,3
87210454,Xenogenesis,2
87210592,Xenogenesis,1
87210610,"Mars Trilogy",2
87210622,"Mars Trilogy",1
87210629,"Mars Trilogy",3
87210631,"Mars Trilogy",100
87210641,"Queen Of Angels",2
87210663,"Queen Of Angels",1
87210682,"Queen Of Angels",4
87210691,"Queen Of Angels",3
87210707,"Spelljammer: Cloakmaster",6
87210717,"Spelljammer: Cloakmaster",5
87210747,"Spelljammer: Cloakmaster",4
87210752,"Spelljammer: Cloakmaster",3
87210764,"Spelljammer: Cloakmaster",2
87210771,"Spelljammer: Cloakmaster",1
87210777,"Darwin Series",2
87210783,"Darwin Series",1
87210798,"Dream Trio",3
87210801,"Dream Trio",1
87210806,"Dream Trio",2
87210823,"Nicole Shea",3
87210831,"Nicole Shea",2
87210855,"Nicole Shea",1
87210896,"The Eon Series",2
87210904,Disinherited,2
87210904,"The Eon Series",0
87210905,"The Eon Series",1
87210931,"Fern Capel",3
87210940,"Fern Capel",2
87210948,"Fern Capel",1
87210959,"The Belgariad",0.2
87210968,"The Belgariad",5
87210978,"The Belgariad",4
87210984,"The Belgariad",3
87210988,"The Belgariad",2
87210993,"The Belgariad",1
87211025,"Bifrost Guardians",1
87211028,"Bifrost Guardians",2
87211032,"Bifrost Guardians",3
87211036,"Bifrost Guardians",4
87211038,"Bifrost Guardians",5
87211055,"Tiger and Del",5
87211067,"Tiger and Del",6
87211073,"Tiger and Del",1
87211079,"Tiger and Del",2
87211087,"Tiger and Del",3
87211089,"Tiger and Del",4
87211096,"The Golden Queen",3
87211100,"The Golden Queen",2
87211103,"The Golden Queen",1
87211110,"Hythrun Chronicles",1
87211113,"Demon Child",3
87211120,"Tales of Alaric the Minstrel",1
87211125,"Tales of Alaric the Minstrel",2
87211134,"Chronoplane Wars",2
87211136,"Chronoplane Wars",1
87211140,"Chronoplane Wars",3
87211353,"The Belgariad",0.1
87239188,Acorna,2
87239202,Acorna,1
87239213,Acorna,3
87239222,Acorna,4
87239238,Acorna,5
87239257,Acorna,6
87239268,Acorna,7
87239282,"Acorna's Children",3
87239290,"Acorna's Children",1
87239327,Acorna,2
87257229,"Harvest of Stars",1
87257304,"Harvest of Stars",2
87257332,"Harvest of Stars",3
87257347,"Harvest of Stars",4
87257394,"Frank Frazetta's Death Dealer",4
87257416,"Frank Frazetta's Death Dealer",3
87257437,"Frank Frazetta's Death Dealer",2
87257452,"Frank Frazetta's Death Dealer",1
87257562,Adept,5
87257606,Adept,4
87257624,Adept,3
87257636,Adept,2
87257649,Adept,1
87257753,Quantrill,1
87257770,Quantrill,2
87257784,Quantrill,3
87257858,Tarot,2
87257872,Tarot,1
87257889,Tarot,3
87258095,"House of Elgin",1
87258119,"House of Elgin",2
87258190,Silistra,3
87258215,Silistra,4
87258247,Silistra,1
87258279,Silistra,2
87258308,"Pip and Flinx",9
87258365,"With Friends . . .",1
87258391,"With Friends . . .",2
87258413,"Pip and Flinx",10
87258431,"Pip and Flinx",1
87258448,"Pip and Flinx",3
87258470,"Pip and Flinx",6
87258481,"Pip and Flinx",5
87258506,"Pip and Flinx",7
87258553,"Pip and Flinx",2
87258566,"Pip and Flinx",4
87258574,"Pip and Flinx",8
87258578,"Pip and Flinx",8.1
87258599,"Pip and Flinx",11
87258612,"Pip and Flinx",12
87258624,"Pip and Flinx",13
87258627,"Pip and Flinx",14
87258637,"Pip and Flinx",15
87259007,"Jupiter Project",1
87259023,"Jupiter Project",2
87259059,"Lin Carter's Mars",4
87259191,"Lin Carter's Mars",2
87259246,"Lin Carter's Mars",3
87259304,"Lin Carter's Mars",1
87259354,"Atlan Saga",5
87259378,"Atlan Saga",1
87259424,"Atlan Saga",4
87259647,"Atlan Saga",3
87259742,"Atlan Saga",2
87259762,Horseclans,2
87259779,Horseclans,1
87259795,Horseclans,3
87259803,Horseclans,4
87259809,Horseclans,5
87259812,Horseclans,6
87259816,Horseclans,7
87259821,Horseclans,8
87259829,Horseclans,9
87259833,Horseclans,10
87259843,Horseclans,11
87259851,Horseclans,12
87259864,Horseclans,13
87259868,Horseclans,14
87259875,Horseclans,15
87259888,Horseclans,16
87259895,Horseclans,17
87259904,Horseclans,18
87259908,Horseclans,101
87259910,Horseclans,102
87259943,Giants,1
87259964,Giants,2
87259989,Giants,5
87260036,Giants,3
87260094,"Twin planets",2
87260109,"Twin planets",1
87260152,Valdemar,11
87260175,Valdemar,10
87260201,Valdemar,12
87260213,Valdemar,5
87260233,Valdemar,4
87260248,Valdemar,20
87260273,Valdemar,9
87260306,Valdemar,8
87260318,Valdemar,7
87260436,Valdemar,6
87260462,"Obsidian Trilogy",2
87260476,"Obsidian Trilogy",3
87260548,"Obsidian Trilogy",1
87260565,"The Elemental Masters Series",5
87260579,"The Elemental Masters Series",1
87260589,"The Elemental Masters Series",2
87260598,"The Elemental Masters Series",3
87260608,"The Elemental Masters Series",4
87260611,"The Elemental Masters Series",6
87260616,"The Elemental Masters Series",7
87260621,"The Elemental Masters Series",8
87260622,"The Elemental Masters Series",8.1
87260656,"Dragonriders of Pern",13
87260684,"Dragonriders of Pern",2
87260710,"Dragonriders of Pern",19
87260726,"Harper Hall Trilogy",1
87260756,"Dragonriders of Pern",20
87260772,"Dragonriders of Pern",10
87260784,"Dragonriders of Pern",9
87260799,"Dragonriders of Pern",1
87260858,"Dragonlance: Chronicles",1
87260881,"Dragonlance: Chronicles",3
87260920,"Dragonlance: Chronicles",2
87260987,"Dragonlance: Legends",3
87260992,"Dragonlance: Legends",2
87261001,"Dragonlance: Heroes",1
87261016,"Dragonlance: Heroes",3
87261030,"Dragonlance: Heroes",2
87261035,"Dragonlance: Legends",1
87261474,"Far Stars and Future Times",2
87261494,"Far Stars and Future Times",1
87261531,Redwall,6
87261552,Redwall,1.1
87261564,Redwall,2
87261692,Metaplanetary,2
87261748,"Marla Mason",1
87261767,City/Coven,1
87261785,City/Coven,2
87261813,"Grand Tour",10
87261838,Stardoc,4
87261872,Warbots,7
87261889,"Master of Magics",3
87261902,"Seeking Sword",2
87261939,"The Once and Future King",4.5
87280987,"Grand Tour",1
87281001,"Grand Tour",3
87281017,"Grand Tour",4
87281028,"Grand Tour",5
87281033,"Grand Tour",6
87281041,"Grand Tour",7
87281073,"The Asteroid Wars",1
87281088,"The Asteroid Wars",2
87281096,"The Asteroid Wars",4
87281105,"Grand Tour",14
87281144,"The Asteroid Wars",3
87281162,"Grand Tour",17
87281173,"Grand Tour",19
87281191,"Grand Tour",18
87281231,Stardoc,1
87281237,Stardoc,2
87281264,Stardoc,5
87281270,Stardoc,6
87281274,Stardoc,7
87281299,Stardoc,8
87281313,Stardoc,9
87281318,Stardoc,10
87281325,Stardoc,80
87281337,Stardoc,81
87281347,Stardoc,99
87281376,"Master of Magics",1
87281386,"Master of Magics",2
87281432,"The Dreamers",2
87281469,"The Dreamers",3
87281520,"Earth's Children",5
87281542,"Earth's Children",1
87281550,"Earth's Children",2
87281563,"Earth's Children",4
87281569,"Earth's Children",6
87281632,"Saga of the Kerrion Empire",2
87281659,"Saga of the Kerrion Empire",1
87281669,"Saga of the Kerrion Empire",3
87281725,"The Troy Game",1
87281741,"The Troy Game",2
87281746,"The Troy Game",3
87281755,"The Troy Game",4
87281774,"Deverry Cycle",7
87281798,"Deverry Cycle",1
87281806,"Deverry Cycle",2
87281815,"Deverry Cycle",3
87281820,"Deverry Cycle",4
87281830,"Deverry Cycle",5
87281838,"Deverry Cycle",6
87281850,"Deverry Cycle",8
87281877,"Deverry Cycle",9
87281884,"Deverry Cycle",10
87281896,"Deverry Cycle",11
87281900,"Deverry Cycle",12
87281908,"Deverry Cycle",13
87281911,"Deverry Cycle",14
87281915,"Deverry Cycle",15
87281937,"Dune: House Trilogy",1
87281952,"Dune: House Trilogy",3
87281968,"Dune: House Trilogy",2
87281993,"Seafort Saga",5
87282002,"Seafort Saga",1
87282010,"Seafort Saga",2
87282016,"Seafort Saga",3
87282031,"Seafort Saga",4
87282042,"Seafort Saga",6
87282046,"Seafort Saga",7
87282087,"Green Rider",1
87282100,"Green Rider",2
87282111,"Green Rider",3
87282120,"Green Rider",4
87282176,"Changer of Days",1
87282187,"Changer of Days",2
87282196,"Symphony of Ages",1
87282214,"Symphony of Ages",2
87282216,"Symphony of Ages",3
87282218,"Symphony of Ages",4
87282222,"Symphony of Ages",5
87282227,"Symphony of Ages",6
87282303,"Castle of Dark",99
87282320,"World of Tiers",5
87282331,"World of Tiers",1
87282332,"World of Tiers",2
87282333,"World of Tiers",3
87282335,"World of Tiers",4
87282339,"World of Tiers",6
87282347,"World of Tiers",7
87282348,"The Black Magician Trilogy",1
87282353,"The Black Magician Trilogy",0
87282356,"The Black Magician Trilogy",2
87282358,"The Black Magician Trilogy",3
87282374,"The Hunted Earth",2
87282387,"The Runelords",1
87282390,"The Runelords",2
87282400,"The Runelords",3
87282406,"The Runelords",4
87282412,"The Runelords",5
87282422,"The Runelords",6
87282427,"The Runelords",7
87282432,"The Runelords",8
87282437,"Silken Magic Series",1
87282449,"Silken Magic Series",2
87315846,"The Far Kingdoms",4
87315852,"The Far Kingdoms",2
87315854,"Seeking Sword",1
87315878,"Operation Chaos",1
87315887,"Operation Chaos",2
87315903,"The Once and Future King",5
87315921,"Keeper's Chronicles",2
87315927,"Keeper's Chronicles",1
87315929,"Keeper's Chronicles",3
87315980,"The Mote in God's Eye",1
87315992,CoDominium,1
87315997,"The Mote in God's Eye",2
87315999,"The Mote in God's Eye",3
87316004,"The Hunted Earth",1
87316025,Rifkind,2
87316029,Rifkind,3
87316030,Rifkind,1
87316046,"The Cycle of Oak,"" Yew"", Ash and Rowan",1
87316051,"The Cycle of Oak,"" Yew"", Ash and Rowan",2
87316055,"The Cycle of Oak,"" Yew"", Ash and Rowan",3
87316057,"The Cycle of Oak,"" Yew"", Ash and Rowan",4
87316058,"The Cycle of Oak,"" Yew"", Ash and Rowan",5
87316063,Cygnet,2
87316066,Cygnet,1
87316068,Cygnet,3
87316085,Colonization,1
87316091,Worldwar,1
87316096,Worldwar,2
87316098,Worldwar,3
87316100,Worldwar,4
87316103,Colonization,2
87316108,Colonization,3
87316111,"Tosev Timeline",8
87316120,"Darkwar Saga",3
87316136,"Riftwar Saga",1.2
87316141,"Legends of the Riftwar",3
87316148,"Legends of the Riftwar",1
87316152,"The Empire Trilogy",1
87316154,"Riftwar Saga",2
87316156,"Riftwar Saga",3
87316160,"The Empire Trilogy",2
87316164,"The Empire Trilogy",3
87316176,"Krondor's Sons",1
87316177,"Krondor's Sons",2
87316182,"Serpentwar Saga",3
87316185,"Serpentwar Saga",4
87316187,"Conclave of Shadows",1
87316188,"Conclave of Shadows",2
87316191,"Conclave of Shadows",3
87316191,"Ghatti's Tale",3
87316192,"Darkwar Saga",1
87316194,"Darkwar Saga",2
87316196,"The Demonwar Saga",1
87316199,"The Demonwar Saga",2
87316200,"Chaoswar Saga",1
87316204,"Chaoswar Saga",2
87316222,"Seven Brothers",1
87316227,"Seven Brothers",2
87316230,"Seven Brothers",3
87316231,"Seven Brothers",4
87316309,"The Demon Wars Saga",1
87316314,"The Demon Wars Saga",2
87316316,"The Demon Wars Saga",3
87316317,"The Demon Wars Saga",4
87316327,"Song of Earth",3
87316330,"Song of Earth",1
87316335,"Song of Earth",2
87316339,"ConSentiency Series",4
87316347,"ConSentiency Series",2.1
87316349,"ConSentiency Series",3
87316356,"Wilderness of Four",1
87316358,"Wilderness of Four",2
87316364,"Wilderness of Four",3
87316366,"Wilderness of Four",4
87316371,"Alliance-Union: The Era of Reapprochment",2
87316393,"Alliance-Union: The Hanan Rebellion",1
87316395,"Alliance-Union: The Era of Reapprochment",1
87316397,"Alliance-Union: The Hanan Rebellion",2
87316398,"Alliance-Union: The Faded Sun",1
87316399,"Alliance-Union: The Faded Sun",2
87316401,"The Faded Sun",3
87316402,"The Company Wars",3
87316406,Chanur,1
87316410,"The Company Wars",4
87316411,"Alliance-Union: The Age of Exploration",1
87316414,"Alliance-Union: The Age of Exploration",2
87316416,Chanur,13
87316419,Chanur,14
87316425,"Alliance-Union: The Age of Exploration",3
87316427,"Merovingen Nights",0
87316429,Chanur,4
87316431,"Merovingen Nights",1
87316435,"Merovingen Nights",2
87316440,"Merovingen Nights",3
87316443,"Merovingen Nights",4
87316446,"The Company Wars",5
87316450,"Merovingen Nights",5
87316456,"The Company Wars",1
87316463,"Merovingen Nights",6
87316468,"Merovingen Nights",7
87316472,"The Company Wars",2
87316474,Chanur,5
87316477,"The Company Wars",6
87316482,"The Company Wars",7
87349410,"Gate of worlds",1
87349490,"The Earthsea Cycle",500
87349520,"The Earthsea Cycle",1
87349527,"The Earthsea Cycle",2
87349537,"The Earthsea Cycle",3
87349545,"The Earthsea Cycle",4
87349550,"The Earthsea Cycle",5
87349561,"The Earthsea Cycle",6
87349579,"Hainish Cycle",5
87349599,"Hainish Cycle",6
87349642,"Hainish Cycle",1
87349645,"Hainish Cycle",2
87349651,"Hainish Cycle",3
87349653,"Hainish Cycle",4
87349657,"Hainish Cycle",7
87349663,"Hainish Cycle",8
87349668,"Hainish Cycle",92
87349673,"Hainish Cycle",91
87408394,Worlds,2
87408400,Worlds,1
87408410,Worlds,3
87408431,Deathworld,4
87408475,"Future History",120
87408553,"Ryhope Wood",4
87408560,"Ryhope Wood",1
87408562,"Ryhope Wood",2
87408569,"Ryhope Wood",3
87408574,"Ryhope Wood",5
87408580,"Ryhope Wood",6
87408587,"Ryhope Wood",7
87408615,Kar-Chee,10
87408625,"Fred Halpren ",3
87408748,"Dirk Gently",1
87408752,"Dirk Gently",2
87408778,"Songs of Earth And Power",100
87408792,"Exiles Trilogy",100
87408801,"Dane Marsh",1
87408809,"Dane Marsh",2
87408812,"The Fall of Atlantis",1
87408843,"The Fall of Atlantis",2
87408881,"Demu Trilogy",100
87408898,"Living Planet",2
87408902,"Living Planet",1
87408918,Leibowitz,1
87409069,Leibowitz,2
87409358,"Near Space",4
87409364,"Near Space",1
87409394,"Near Space",3
87409430,"Near Space",5
87409441,"Fifth Millenium",1
87409456,"Fifth Millenium",3
87409460,"Fifth Millenium",4
87409463,"Fifth Millenium",5
87409467,"Fifth Millenium",6
87409469,"Fifth Millenium",7
87409474,"Fifth Millenium",2
87409511,"LaNague Federation Series",4
87409514,"LaNague Federation Series",1
87409521,"LaNague Federation Series",2
87409532,"LaNague Federation Series",5
87533764,Redwall,4
87571004,"The Far Kingdoms",1
87571047,Mithgar,5
87571063,Mithgar,1
87571074,Mithgar,2
87571082,Mithgar,3
87571088,Mithgar,4
87571092,Mithgar,6
87571096,Mithgar,7
87571102,Mithgar,8
87571106,Mithgar,9
87571111,Mithgar,10
87571116,Mithgar,11
87571127,Mithgar,12
87571135,Mithgar,13
87571141,Mithgar,14
87571143,Mithgar,15
87571158,Vorkosigan,8
87571170,Vorkosigan,0
87571172,Vorkosigan,1
87571180,Vorkosigan,3
87571183,Vorkosigan,4
87571184,Vorkosigan,5
87571187,Vorkosigan,7
87571197,Vorkosigan,9
87571214,Vorkosigan,11
87571219,Vorkosigan,12
87571223,Vorkosigan,13
87571231,Vorkosigan,14
87571235,Vorkosigan,15
87571245,Vorkosigan,16
87571252,Vorkosigan,10
87571264,Sten,5
87571271,Sten,1
87571274,Sten,2
87571282,Sten,4
87571293,Sten,7
87571299,Sten,8
87571305,Sten,6
87571377,Deathlands,20
87571426,Retief,7
87571435,Retief,1
87571438,Retief,2
87571440,Retief,3
87571443,Retief,4
87571448,Retief,5
87571451,Retief,6
87571452,Retief,8
87571454,Retief,9
87571456,Retief,10
87571463,Retief,11
87571465,Retief,12
87571467,Retief,13
87571473,Retief,14
87571474,Retief,15
87571477,Retief,16
87571480,Retief,17
87571487,Retief,18
87571493,"Fafhrd and the Gray Mouser",2
87571503,"Fafhrd and the Gray Mouser",1
87571508,"Fafhrd and the Gray Mouser",3
87571514,"Fafhrd and the Gray Mouser",4
87571517,"Fafhrd and the Gray Mouser",5
87571525,"Fafhrd and the Gray Mouser",7
87571526,"Fafhrd and the Gray Mouser",8
87571530,"Chronicles of Amber",3
87571536,"Chronicles of Amber",1
87571539,"Chronicles of Amber",2
87571541,"Chronicles of Amber",4
87571547,"Chronicles of Amber",5
87571556,Stardoc,3
87571620,Clane,2
87571625,Clane,1
87571630,"Doomsday Warrior",9
87571637,"Time Traders",2
87571663,"Time Traders",1
87571671,"Time Traders",3
87571679,"Time Traders",4
87571685,"Time Traders",5
87571696,"Time Traders",6
87571699,"Time Traders",7
87571708,"Near Space",2
87571727,"The Survivalist",25
87571732,Skylark,4
87571737,Skylark,1
87571749,Sten,3
87571762,"Spellsong Cycle",1
87571770,"Spellsong Cycle",4
87571776,"Spellsong Cycle",3
87571784,"Spellsong Cycle",2
87571791,"Spellsong Cycle",5
87571816,Skylark,2
87571825,Skylark,3
87571828,Xanth,8
87571831,Dragonstar,3
87571837,Dragonstar,1
87571849,Dragonstar,2
87608321,"Last Rune",3
87608324,"Last Rune",1
87608329,"Last Rune",4
87608340,"Last Rune",6
87608345,Discworld,23
87608351,Discworld,1
87608352,Discworld,2
87608353,Discworld,3
87608354,Discworld,4
87608358,Discworld,5
87608359,Discworld,6
87608361,Discworld,7
87608361,Pilgrim,1
87608366,Discworld,8
87608371,Discworld,9
87608374,Discworld,10
87608377,Discworld,11
87608380,Discworld,12
87608381,Discworld,13
87608383,Discworld,14
87608384,Discworld,15
87608386,Discworld,16
87608388,Discworld,17
87608392,Discworld,18
87608398,Discworld,19
87608402,Discworld,20
87608404,Discworld,21
87608407,Discworld,22
87608409,Discworld,24
87608411,Discworld,25
87608412,Discworld,26
87608415,Discworld,27
87608418,Discworld,28
87608421,Discworld,29
87608422,Discworld,30
87608425,Discworld,31
87608428,Discworld,32
87608429,Discworld,33
87608432,Discworld,34
87608435,Discworld,34
87608436,Discworld,36
87608437,Discworld,37
87608438,Discworld,38
87608441,Discworld,39
87608443,"Dream Park",3
87608446,"Dream Park",1
87608448,"Dream Park",2
87608451,"Dream Park",4
87608452,"Saga of Recluce",6
87608461,"Saga of Recluce",2
87608462,"Saga of Recluce",3
87608472,"Saga of Recluce",5
87608474,"Saga of Recluce",7
87608477,"Saga of Recluce",8
87608480,"Saga of Recluce",9
87608481,"Saga of Recluce",10
87608496,"Saga of Recluce",11
87608501,"Saga of Recluce",12
87608505,"Saga of Recluce",13
87608508,"Saga of Recluce",14
87608513,"Saga of Recluce",15
87608517,"Saga of Recluce",16
87608536,"The Far Kingdoms",3
87653618,Dragonmaster,1
87653627,Dragonmaster,2
87653630,Dragonmaster,3
87653633,"Deathstalker - Prelude",1
87653666,"Deathstalker - First Episode",1
87653670,"Deathstalker - First Episode",2
87653676,"Deathstalker - First Episode",3
87653685,"Deathstalker - First Episode",4
87653689,"Deathstalker - First Episode",5
87653697,"Deathstalker - Second Episode",6
87653700,"Deathstalker - Second Episode",7
87653709,"Deathstalker - Second Episode",8
87653734,Behemoth,1
87653758,Behemoth,2
87653764,Behemoth,3
87653771,"Saga of Recluce",1
87653798,Dumarest,1
87653818,Preternatural,1
87653825,Preternatural,2
87653829,Preternatural,3
87654104,"Requiem for Homo Sapiens",3
87654120,"Requiem for Homo Sapiens",2
87654126,"Requiem for Homo Sapiens",1
87654130,"Requiem for Homo Sapiens",0
87654141,"The War Against the Chtorr",4
87654158,"The War Against the Chtorr",2
87654160,"The War Against the Chtorr",3
87654163,"The War Against the Chtorr",1
87654180,Valdemar,1
87654187,Valdemar,2
87654191,Valdemar,3
87654203,"Queen of Camelot",1
87654218,"Queen of Camelot",2
87654256,"Dragaera: Vlad Taltos",7
87654264,"Dragaera: Vlad Taltos",5
87654274,"Dragaera: Vlad Taltos",3
87654285,"Dragaera: Vlad Taltos",1
87654289,"Dragaera: Vlad Taltos",4
87654292,"Dragaera: Vlad Taltos",2
87654334,"Dragaera: Vlad Taltos",6
87654338,"Dragaera: Vlad Taltos",8
87654342,"Dragaera: Vlad Taltos",9
87654346,"Dragaera: Vlad Taltos",10
87654354,"Dragaera: Vlad Taltos",11
87654358,"Dragaera: Vlad Taltos",12
87654366,"Dragaera: Vlad Taltos",13
87654396,Winterlands,4
87654402,Winterlands,3
87654412,Winterlands,1
87654421,Winterlands,2
87654457,Vorkosigan,2
87654490,"The Bronze Canticles",1
87654494,"The Bronze Canticles",2
87654499,"The Bronze Canticles",3
87654516,"Tale of Eron",1
87654524,"Tale of Eron",3
87654531,"Tale of Eron",4
87654543,"Tale of Eron",2
87654565,"Lords of Dus",1
87654569,"Lords of Dus",3
87654573,"Lords of Dus",4
87654576,"Lords of Dus",2
87654592,Outlanders,29
87654600,Outlanders,21
87654617,Timewars,1
87654621,Timewars,3
87654627,Timewars,2
87654633,Timewars,4
87654638,Timewars,5
87654642,Timewars,6
87654645,Timewars,7
87654648,Timewars,8
87654651,Timewars,9
87654659,Timewars,10
87654662,Timewars,11
87654665,Timewars,12
87654675,Ni-Lach,4
87654678,Ni-Lach,3
87654686,Ni-Lach,2
87654688,Ni-Lach,1
87654711,"The Dreamers",1
87655065,"Rogue Wizard",3
87655102,"Warlock of Gramarye",6
87655110,"Terran Empire",4
87655117,"Saga of Dominic Flandry",3
87655124,"Saga of Dominic Flandry",2
87655128,"Terran Empire",2
87655137,"Pandora Trilogy",1
87655145,"Pandora Trilogy",3
87655149,"Destination: Void Universe",1
87655159,Timeline-191,5
87655172,Timeline-191,6
87655176,Timeline-191,7
87683067,"Adventures in Science Fiction Series",1
87683080,"Flashing Swords!",5
87683086,"Flashing Swords!",1
87683094,"Flashing Swords!",2
87683095,"Flashing Swords!",3
87683098,"Flashing Swords!",4
87683150,Fuzzies,4
87683186,Fuzzies,2
87683214,Fuzzies,4
87683362,"Tom Swift  Jr. Adventures",6
87748648,"Last Rune",5
87777572,"Philip Jose Farmer's The Dungeon",2
87777594,"Philip Jose Farmer's The Dungeon",1
87777611,"Philip Jose Farmer's The Dungeon",3
87777618,"Philip Jose Farmer's The Dungeon",4
87777624,"Philip Jose Farmer's The Dungeon",5
87777624,"The Averalaan Universe",15
87777695,"Bridge Trilogy",1
87777703,"Bridge Trilogy",2
87777707,"Bridge Trilogy",3
87777746,"Band of Four",2
87777754,"Band of Four",1
87777758,"Band of Four",3
87777766,"Band of Four",4
87777778,"Last Rune",2
87868628,"Legion of the Damned",3
87868637,"Legion of the Damned",2
87868637,"Philip Jose Farmer's The Dungeon",6
87868644,"Legion of the Damned",1
87868650,"Legion of the Damned",4
87868653,"Legion of the Damned",7
87868654,"Legion of the Damned",5
87868657,"Legion of the Damned",6
87868662,"Legion of the Damned",8
87868682,"Wheel of Time",1
87868688,"Wheel of Time",2
87868693,"Wheel of Time",3
87868723,"Wheel of Time",4
87868737,"Wheel of Time",5
87868741,"Wheel of Time",6
87868749,"Wheel of Time",7
87868759,"Wheel of Time",8
87868767,"Wheel of Time",9
87868782,"Wheel of Time",10
87868795,"Wheel of Time",0
87868798,"Wheel of Time",14
87868802,"Wheel of Time",13
87868805,"Wheel of Time",12
87868810,"Wheel of Time",11
87868855,"Ler Chronological",2
87868861,"Ler Chronological",1
87868864,"Ler Chronological",3
87868868,"Stars series",2
87868873,"Stars series",3
87868877,"Stars series",1
87868883,"Dinosaur Planet",2
87868889,"Dinosaur Planet",1
87868902,Needle,1
87868913,Needle,2
87868914,"Forgotten Realms: Sembia",1
87868924,"Forgotten Realms: Sembia",2
87868928,"Forgotten Realms: Sembia",3
87868942,"Forgotten Realms: Sembia",4
87868954,"Forgotten Realms: Sembia",5
87868957,"Forgotten Realms: Sembia",6
87868961,"Forgotten Realms: Sembia",7
87899757,"Pandora Trilogy",2
87899795,"Ghost Stories",2
87900574,"Ghost Stories",1
87900598,"Ghost Stories",3
87900618,Fuzzies,1
87900635,"The Heechee Saga",3
87900645,"The Heechee Saga",2
87900672,"The Heechee Saga",1
87900678,"The Heechee Saga",4
87900682,"The Heechee Saga",5
87900690,"The Heechee Saga",6
87900723,"Neanderthal Parallax",1
87900728,"Neanderthal Parallax",2
87900734,"Neanderthal Parallax",3
87900769,Callisto,7
87900781,Callisto,1
87900791,Callisto,2
87900810,Callisto,3
87900817,Callisto,4
87900823,Callisto,5
87900828,Callisto,6
87900838,Callisto,8
87902983,"War World",5
87902999,"War World",3
87903028,"War World",2
87903039,"War World",4
87903043,"War World",6
87903056,"War World",7
87903082,"Thlassa Mey",3
87903086,"Thlassa Mey",2
87903102,"Thlassa Mey",4
87981530,Darkover,11
87981552,Darkover,18
87981569,Darkover,8
87981596,Darkover,20
87981604,Darkover,35
87981619,Darkover,35
87981629,Darkover,19
87981641,"Dark Border",1
87981656,Belisarius,2
87981667,Belisarius,1
87981676,Belisarius,3
87981680,Belisarius,4
87981683,Belisarius,5
87981688,Belisarius,6
88016278,"Lafayette O'Leary",1
88016292,"Lafayette O'Leary",2
88016301,"Lafayette O'Leary",3
88016308,"Lafayette O'Leary",4
88016311,"Lafayette O'Leary",100
88016360,"Pegasus Trilogy",2
88016374,"Pegasus Trilogy",3
88016387,"Seas of Kilmoyn",1
88016458,"Patterns of Chaos",2.5
88016468,"Patterns of Chaos",4.5
88016477,Anthi,2
88016505,Anthi,1
88016525,"Book of Elementals",2
88016532,"Book of Elementals",1
88016613,"Three Californias",2
88016619,"Three Californias",1
88016621,"Three Californias",3
88016626,"Kevin Fikkan",1
